Time t (min);Temperature T(c);Heat Flow Q (mW);Heat Flow (Normalized) Q (W/g);Weight (mg);Weight (%)
0;30,7676;4,091;0,164;24,989;100
0,0017;30,7677;4,091;0,164;24,9889;99,999
0,0033;30,7678;4,091;0,164;24,9888;99,999
0,005;30,7679;4,091;0,164;24,9887;99,999
0,0067;30,768;4,091;0,164;24,9886;99,999
0,0083;30,7681;4,091;0,164;24,9885;99,998
0,01;30,7682;4,091;0,164;24,9884;99,998
0,0117;30,7683;4,091;0,164;24,9883;99,998
0,0133;30,7684;4,091;0,164;24,9882;99,998
0,015;30,7685;4,091;0,164;24,9881;99,997
0,0167;30,7686;4,091;0,164;24,988;99,997
0,0183;30,7687;4,091;0,164;24,9879;99,997
0,02;30,7688;4,091;0,164;24,9878;99,997
0,0217;30,7689;4,091;0,164;24,9877;99,997
0,0233;30,769;4,091;0,164;24,9876;99,996
0,025;30,7691;4,091;0,164;24,9875;99,996
0,0267;30,7692;4,091;0,164;24,9874;99,996
0,0283;30,7693;4,091;0,164;24,9873;99,996
0,03;30,7694;4,091;0,164;24,9872;99,995
0,0317;30,7695;4,091;0,164;24,9871;99,995
0,0333;30,7696;4,091;0,164;24,987;99,995
0,035;30,7697;4,091;0,164;24,9869;99,995
0,0367;30,7698;4,091;0,164;24,9868;99,994
0,0383;30,7699;4,091;0,164;24,9867;99,994
0,04;30,77;4,091;0,164;24,9866;99,994
0,0417;30,78;4,095;0,164;24,9865;99,994
0,0433;30,8;4,1;0,164;24,9864;99,993
0,045;30,81;4,104;0,164;24,9863;99,993
0,0467;30,82;4,109;0,164;24,9862;99,993
0,0483;30,83;4,114;0,165;24,9861;99,993
0,05;30,84;4,119;0,165;24,986;99,992
0,0517;30,85;4,124;0,165;24,9859;99,992
0,0533;30,87;4,129;0,165;24,9858;99,992
0,055;30,88;4,134;0,165;24,9857;99,991
0,0567;30,89;4,139;0,166;24,9856;99,991
0,0583;30,9;4,144;0,166;24,9855;99,991
0,06;30,91;4,148;0,166;24,9854;99,991
0,0617;30,92;4,153;0,166;24,9853;99,99
0,0633;30,94;4,158;0,166;24,9852;99,99
0,065;30,95;4,162;0,167;24,9851;99,99
0,0667;30,96;4,167;0,167;24,985;99,99
0,0683;30,97;4,172;0,167;24,9849;99,989
0,07;30,98;4,176;0,167;24,9848;99,989
0,0717;30,99;4,181;0,167;24,9847;99,989
0,0733;31,01;4,185;0,167;24,9846;99,988
0,075;31,02;4,19;0,168;24,9845;99,988
0,0767;31,03;4,194;0,168;24,9844;99,988
0,0783;31,04;4,198;0,168;24,9843;99,988
0,08;31,05;4,203;0,168;24,9842;99,987
0,0817;31,06;4,207;0,168;24,9841;99,987
0,0833;31,07;4,211;0,168;24,984;99,987
0,085;31,09;4,215;0,169;24,9839;99,987
0,0867;31,1;4,219;0,169;24,9838;99,986
0,0883;31,11;4,223;0,169;24,9837;99,986
0,09;31,12;4,227;0,169;24,9836;99,986
0,0917;31,13;4,231;0,169;24,9835;99,985
0,0933;31,14;4,235;0,169;24,9834;99,985
0,095;31,15;4,239;0,17;24,9833;99,985
0,0967;31,16;4,244;0,17;24,9832;99,985
0,0983;31,18;4,248;0,17;24,9831;99,984
0,1;31,19;4,252;0,17;24,983;99,984
0,1017;31,2;4,257;0,17;24,9829;99,984
0,1033;31,21;4,261;0,171;24,9828;99,984
0,105;31,22;4,266;0,171;24,9827;99,983
0,1067;31,23;4,271;0,171;24,9826;99,983
0,1083;31,24;4,275;0,171;24,9825;99,983
