Time t (min);Temperature T(c);Heat Flow Q (mW);Heat Flow (Normalized) Q (W/g);Weight (mg);Weight (%)
0;20,4376;2,902;0,115;25,284;100
0;20,4377;2,902;0,115;25,284;99,999
0;20,4378;2,902;0,115;25,284;99,999
0,01;20,4379;2,902;0,115;25,284;99,999
0,01;20,438;2,902;0,115;25,284;99,999
0,01;20,4381;2,902;0,115;25,284;99,999
0,01;20,4382;2,902;0,115;25,284;99,998
0,01;20,4383;2,902;0,115;25,284;99,998
0,01;20,4384;2,902;0,115;25,284;99,998
0,01;20,4385;2,902;0,115;25,284;99,998
0,02;20,4386;2,902;0,115;25,284;99,998
0,02;20,4387;2,902;0,115;25,284;99,997
0,02;20,4388;2,902;0,115;25,284;99,997
0,02;20,4389;2,902;0,115;25,284;99,997
0,02;20,439;2,902;0,115;25,284;99,997
0,03;20,4391;2,902;0,115;25,284;99,997
0,03;20,4392;2,902;0,115;25,284;99,996
0,03;20,4393;2,902;0,115;25,284;99,996
0,03;20,4394;2,902;0,115;25,284;99,996
0,03;20,4395;2,902;0,115;25,284;99,996
0,03;20,4396;2,902;0,115;25,283;99,995
0,03;20,4397;2,902;0,115;25,283;99,995
0,04;20,4398;2,902;0,115;25,283;99,995
0,04;20,4399;2,902;0,115;25,283;99,995
0,04;20,44;2,902;0,115;25,283;99,995
0,04;20,44;2,902;0,115;25,283;99,994
0,04;20,44;2,902;0,115;25,283;99,994
0,05;20,44;2,901;0,115;25,283;99,994
0,05;20,44;2,901;0,115;25,283;99,994
0,05;20,44;2,9;0,115;25,283;99,994
0,05;20,44;2,9;0,115;25,283;99,993
0,05;20,44;2,9;0,115;25,283;99,993
0,05;20,44;2,899;0,115;25,283;99,993
0,05;20,44;2,898;0,115;25,283;99,993
0,06;20,44;2,898;0,115;25,283;99,992
0,06;20,44;2,897;0,115;25,283;99,992
0,06;20,44;2,897;0,115;25,283;99,992
0,06;20,44;2,896;0,115;25,283;99,992
0,06;20,44;2,895;0,115;25,282;99,992
0,07;20,44;2,895;0,114;25,282;99,991
0,07;20,44;2,894;0,114;25,282;99,991
0,07;20,44;2,893;0,114;25,282;99,991
0,07;20,44;2,893;0,114;25,282;99,991
0,07;20,44;2,892;0,114;25,282;99,99
0,07;20,44;2,891;0,114;25,282;99,99
0,08;20,44;2,891;0,114;25,282;99,99
0,08;20,44;2,89;0,114;25,282;99,99
0,08;20,44;2,889;0,114;25,282;99,989
0,08;20,44;2,888;0,114;25,282;99,989
0,08;20,44;2,888;0,114;25,282;99,989
0,08;20,44;2,887;0,114;25,282;99,989
0,08;20,44;2,886;0,114;25,282;99,989
0,09;20,44;2,885;0,114;25,282;99,988
0,09;20,44;2,885;0,114;25,282;99,988
0,09;20,44;2,884;0,114;25,282;99,988
0,09;20,44;2,883;0,114;25,281;99,988
0,09;20,44;2,882;0,114;25,281;99,987
0,09;20,44;2,881;0,114;25,281;99,987
0,1;20,44;2,88;0,114;25,281;99,987
