Time t (min);Temperature T(c);Heat Flow Q (mW);Heat Flow (Normalized) Q (W/g);Weight (mg);Weight (%)
0;32,87;8,26;0,319;25,862;100
0;32,87;8,26;0,319;25,862;99,999
0;32,87;8,26;0,319;25,862;99,999
0,01;32,87;8,26;0,319;25,862;99,999
0,01;32,87;8,26;0,319;25,862;99,998
0,01;32,87;8,26;0,319;25,862;99,998
0,01;32,87;8,26;0,319;25,862;99,998
0,01;32,87;8,26;0,319;25,862;99,998
0,01;32,87;8,26;0,319;25,862;99,997
0,01;32,87;8,26;0,319;25,862;99,997
0,02;32,87;8,26;0,319;25,862;99,997
0,02;32,87;8,26;0,319;25,862;99,997
0,02;32,87;8,26;0,319;25,862;99,996
0,02;32,87;8,26;0,319;25,862;99,996
0,02;32,87;8,26;0,319;25,862;99,996
0,03;32,87;8,26;0,319;25,861;99,996
0,03;32,87;8,26;0,319;25,861;99,995
0,03;32,87;8,26;0,319;25,861;99,995
0,03;32,87;8,26;0,319;25,861;99,995
0,03;32,87;8,26;0,319;25,861;99,995
0,03;32,87;8,26;0,319;25,861;99,994
0,03;32,87;8,26;0,319;25,861;99,994
0,04;32,87;8,26;0,319;25,861;99,994
0,04;32,87;8,26;0,319;25,861;99,993
0,04;32,87;8,26;0,319;25,861;99,993
0,04;32,88;8,26;0,319;25,861;99,993
0,04;32,89;8,26;0,319;25,861;99,993
0,05;32,9;8,261;0,319;25,861;99,992
0,05;32,91;8,261;0,319;25,861;99,992
0,05;32,92;8,261;0,319;25,86;99,992
0,05;32,93;8,261;0,319;25,86;99,991
0,05;32,94;8,261;0,319;25,86;99,991
0,05;32,95;8,261;0,319;25,86;99,991
0,05;32,96;8,261;0,319;25,86;99,99
0,06;32,98;8,261;0,319;25,86;99,99
0,06;32,99;8,261;0,319;25,86;99,99
0,06;33;8,261;0,319;25,86;99,99
0,06;33,01;8,261;0,319;25,86;99,989
0,06;33,02;8,261;0,319;25,86;99,989
0,07;33,03;8,261;0,319;25,86;99,989
0,07;33,04;8,261;0,319;25,86;99,988
0,07;33,05;8,261;0,319;25,86;99,988
0,07;33,06;8,261;0,319;25,859;99,988
0,07;33,07;8,261;0,319;25,859;99,987
0,07;33,09;8,261;0,319;25,859;99,987
0,08;33,1;8,261;0,319;25,859;99,987
0,08;33,11;8,261;0,319;25,859;99,986
0,08;33,12;8,26;0,319;25,859;99,986
0,08;33,13;8,26;0,319;25,859;99,986
0,08;33,14;8,26;0,319;25,859;99,985
0,08;33,15;8,26;0,319;25,859;99,985
0,08;33,16;8,26;0,319;25,859;99,985
0,09;33,17;8,26;0,319;25,859;99,984
0,09;33,18;8,26;0,319;25,858;99,984
0,09;33,19;8,26;0,319;25,858;99,984
0,09;33,2;8,259;0,319;25,858;99,983
0,09;33,22;8,259;0,319;25,858;99,983
0,09;33,23;8,259;0,319;25,858;99,983
0,1;33,24;8,258;0,319;25,858;99,982
0,1;33,25;8,258;0,319;25,858;99,982
0,1;33,26;8,258;0,319;25,858;99,982
0,1;33,27;8,257;0,319;25,858;99,981
0,1;33,28;8,257;0,319;25,858;99,981
0,11;33,29;8,257;0,319;25,858;99,98
0,11;33,3;8,256;0,319;25,857;99,98
0,11;33,31;8,256;0,319;25,857;99,98
0,11;33,32;8,256;0,319;25,857;99,979
0,11;33,33;8,255;0,319;25,857;99,979
0,11;33,34;8,255;0,319;25,857;99,979
0,12;33,35;8,254;0,319;25,857;99,978
0,12;33,36;8,254;0,319;25,857;99,978
0,12;33,37;8,253;0,319;25,857;99,977
0,12;33,39;8,253;0,319;25,857;99,977
0,12;33,4;8,253;0,319;25,857;99,977
0,12;33,41;8,252;0,319;25,856;99,976
0,13;33,42;8,252;0,319;25,856;99,976
0,13;33,43;8,251;0,319;25,856;99,975
0,13;33,44;8,251;0,319;25,856;99,975
0,13;33,45;8,25;0,319;25,856;99,975
0,13;33,46;8,25;0,319;25,856;99,974
0,13;33,47;8,249;0,319;25,856;99,974
0,14;33,48;8,249;0,319;25,856;99,973
0,14;33,49;8,248;0,319;25,856;99,973
0,14;33,5;8,248;0,319;25,856;99,973
0,14;33,51;8,247;0,319;25,855;99,972
0,14;33,52;8,247;0,319;25,855;99,972
0,14;33,53;8,246;0,319;25,855;99,971
0,14;33,54;8,245;0,319;25,855;99,971
0,15;33,55;8,244;0,319;25,855;99,971
0,15;33,56;8,244;0,319;25,855;99,97
0,15;33,57;8,243;0,319;25,855;99,97
0,15;33,58;8,242;0,319;25,855;99,969
0,15;33,6;8,241;0,319;25,855;99,969
0,16;33,61;8,241;0,319;25,854;99,968
0,16;33,62;8,24;0,319;25,854;99,968
0,16;33,63;8,239;0,319;25,854;99,968
0,16;33,64;8,238;0,319;25,854;99,967
0,16;33,65;8,238;0,319;25,854;99,967
0,16;33,66;8,237;0,318;25,854;99,966
0,16;33,67;8,236;0,318;25,854;99,966
0,17;33,68;8,235;0,318;25,854;99,965
0,17;33,69;8,234;0,318;25,854;99,965
0,17;33,7;8,233;0,318;25,853;99,965
0,17;33,71;8,232;0,318;25,853;99,964
0,17;33,72;8,232;0,318;25,853;99,964
0,18;33,73;8,231;0,318;25,853;99,963
0,18;33,74;8,23;0,318;25,853;99,963
0,18;33,75;8,229;0,318;25,853;99,962
0,18;33,76;8,228;0,318;25,853;99,962
0,18;33,77;8,227;0,318;25,853;99,961
0,18;33,78;8,226;0,318;25,853;99,961
0,19;33,79;8,226;0,318;25,852;99,961
0,19;33,8;8,225;0,318;25,852;99,96
0,19;33,82;8,224;0,318;25,852;99,96
0,19;33,83;8,223;0,318;25,852;99,959
0,19;33,84;8,222;0,318;25,852;99,959
0,19;33,85;8,221;0,318;25,852;99,958
0,19;33,86;8,22;0,318;25,852;99,958
0,2;33,87;8,219;0,318;25,852;99,957
0,2;33,88;8,218;0,318;25,851;99,957
0,2;33,89;8,218;0,318;25,851;99,956
0,2;33,9;8,217;0,318;25,851;99,956
0,2;33,91;8,216;0,318;25,851;99,956
0,21;33,92;8,215;0,318;25,851;99,955
0,21;33,93;8,214;0,318;25,851;99,955
0,21;33,94;8,213;0,318;25,851;99,954
0,21;33,95;8,212;0,318;25,851;99,954
0,21;33,96;8,211;0,317;25,851;99,953
0,21;33,97;8,21;0,317;25,85;99,953
0,21;33,98;8,209;0,317;25,85;99,952
0,22;33,99;8,208;0,317;25,85;99,952
0,22;34,01;8,207;0,317;25,85;99,951
0,22;34,02;8,206;0,317;25,85;99,951
0,22;34,03;8,206;0,317;25,85;99,95
0,22;34,04;8,205;0,317;25,85;99,95
0,23;34,05;8,204;0,317;25,85;99,949
0,23;34,06;8,203;0,317;25,849;99,949
0,23;34,07;8,202;0,317;25,849;99,949
0,23;34,08;8,201;0,317;25,849;99,948
0,23;34,09;8,2;0,317;25,849;99,948
0,23;34,1;8,199;0,317;25,849;99,947
0,24;34,11;8,198;0,317;25,849;99,947
0,24;34,12;8,197;0,317;25,849;99,946
0,24;34,13;8,197;0,317;25,849;99,946
0,24;34,15;8,196;0,317;25,848;99,945
0,24;34,16;8,195;0,317;25,848;99,945
0,24;34,17;8,194;0,317;25,848;99,944
0,24;34,18;8,193;0,317;25,848;99,944
0,25;34,19;8,193;0,317;25,848;99,943
0,25;34,2;8,192;0,317;25,848;99,943
0,25;34,21;8,191;0,317;25,848;99,942
0,25;34,22;8,19;0,317;25,848;99,942
0,25;34,23;8,19;0,317;25,847;99,941
0,26;34,24;8,189;0,317;25,847;99,941
0,26;34,26;8,188;0,317;25,847;99,94
0,26;34,27;8,188;0,317;25,847;99,94
0,26;34,28;8,187;0,317;25,847;99,939
0,26;34,29;8,187;0,317;25,847;99,939
0,26;34,3;8,186;0,317;25,847;99,938
0,26;34,31;8,186;0,317;25,847;99,938
0,27;34,32;8,185;0,316;25,846;99,937
0,27;34,33;8,185;0,316;25,846;99,937
0,27;34,35;8,184;0,316;25,846;99,936
0,27;34,36;8,184;0,316;25,846;99,936
0,27;34,37;8,183;0,316;25,846;99,935
0,28;34,38;8,183;0,316;25,846;99,935
0,28;34,39;8,183;0,316;25,846;99,935
0,28;34,4;8,182;0,316;25,846;99,934
0,28;34,42;8,182;0,316;25,845;99,934
0,28;34,43;8,181;0,316;25,845;99,933
0,28;34,44;8,181;0,316;25,845;99,933
0,29;34,45;8,18;0,316;25,845;99,932
0,29;34,46;8,18;0,316;25,845;99,932
0,29;34,47;8,179;0,316;25,845;99,931
0,29;34,48;8,179;0,316;25,845;99,931
0,29;34,5;8,179;0,316;25,845;99,93
0,29;34,51;8,178;0,316;25,844;99,93
0,3;34,52;8,178;0,316;25,844;99,929
0,3;34,53;8,178;0,316;25,844;99,929
0,3;34,54;8,177;0,316;25,844;99,928
0,3;34,56;8,177;0,316;25,844;99,928
0,3;34,57;8,177;0,316;25,844;99,927
0,3;34,58;8,177;0,316;25,844;99,927
0,3;34,59;8,177;0,316;25,844;99,926
0,31;34,6;8,177;0,316;25,843;99,926
0,31;34,62;8,177;0,316;25,843;99,925
0,31;34,63;8,177;0,316;25,843;99,925
0,31;34,64;8,177;0,316;25,843;99,924
0,31;34,65;8,177;0,316;25,843;99,924
0,31;34,66;8,177;0,316;25,843;99,923
0,32;34,68;8,177;0,316;25,843;99,923
0,32;34,69;8,177;0,316;25,843;99,922
0,32;34,7;8,177;0,316;25,842;99,922
0,32;34,71;8,177;0,316;25,842;99,921
0,32;34,73;8,177;0,316;25,842;99,921
0,33;34,74;8,177;0,316;25,842;99,92
0,33;34,75;8,178;0,316;25,842;99,92
0,33;34,76;8,178;0,316;25,842;99,919
0,33;34,78;8,178;0,316;25,842;99,919
0,33;34,79;8,178;0,316;25,842;99,918
0,33;34,8;8,179;0,316;25,841;99,918
0,34;34,81;8,179;0,316;25,841;99,917
0,34;34,83;8,18;0,316;25,841;99,917
0,34;34,84;8,18;0,316;25,841;99,917
0,34;34,85;8,181;0,316;25,841;99,916
0,34;34,87;8,182;0,316;25,841;99,916
0,34;34,88;8,183;0,316;25,841;99,915
0,35;34,89;8,184;0,316;25,841;99,915
0,35;34,9;8,185;0,316;25,84;99,914
0,35;34,92;8,186;0,317;25,84;99,914
0,35;34,93;8,187;0,317;25,84;99,913
0,35;34,94;8,188;0,317;25,84;99,913
0,35;34,96;8,189;0,317;25,84;99,912
0,35;34,97;8,191;0,317;25,84;99,912
0,36;34,98;8,192;0,317;25,84;99,911
0,36;35;8,193;0,317;25,84;99,911
0,36;35,01;8,195;0,317;25,839;99,91
0,36;35,02;8,197;0,317;25,839;99,91
0,36;35,04;8,199;0,317;25,839;99,909
0,36;35,05;8,201;0,317;25,839;99,909
0,37;35,06;8,204;0,317;25,839;99,908
0,37;35,08;8,206;0,317;25,839;99,908
0,37;35,09;8,208;0,317;25,839;99,907
0,37;35,1;8,21;0,317;25,839;99,907
0,37;35,12;8,213;0,318;25,838;99,906
0,38;35,13;8,215;0,318;25,838;99,906
0,38;35,14;8,218;0,318;25,838;99,905
0,38;35,16;8,22;0,318;25,838;99,905
0,38;35,17;8,223;0,318;25,838;99,904
0,38;35,19;8,225;0,318;25,838;99,904
0,38;35,2;8,228;0,318;25,838;99,903
0,39;35,21;8,231;0,318;25,838;99,903
0,39;35,23;8,234;0,318;25,837;99,902
0,39;35,24;8,237;0,318;25,837;99,902
0,39;35,26;8,24;0,319;25,837;99,901
0,39;35,27;8,243;0,319;25,837;99,901
0,39;35,29;8,246;0,319;25,837;99,901
0,4;35,3;8,25;0,319;25,837;99,9
0,4;35,31;8,253;0,319;25,837;99,9
0,4;35,33;8,256;0,319;25,837;99,899
0,4;35,34;8,26;0,319;25,836;99,899
0,4;35,36;8,263;0,32;25,836;99,898
0,4;35,37;8,267;0,32;25,836;99,898
0,4;35,39;8,271;0,32;25,836;99,897
0,41;35,4;8,274;0,32;25,836;99,897
0,41;35,41;8,278;0,32;25,836;99,896
0,41;35,43;8,282;0,32;25,836;99,896
0,41;35,44;8,286;0,32;25,836;99,895
0,41;35,46;8,29;0,321;25,835;99,895
0,41;35,47;8,294;0,321;25,835;99,894
0,42;35,49;8,298;0,321;25,835;99,894
0,42;35,5;8,302;0,321;25,835;99,893
0,42;35,52;8,306;0,321;25,835;99,893
0,42;35,53;8,31;0,321;25,835;99,892
0,42;35,55;8,314;0,321;25,835;99,892
0,43;35,56;8,318;0,322;25,834;99,891
0,43;35,58;8,322;0,322;25,834;99,891
0,43;35,59;8,326;0,322;25,834;99,89
0,43;35,61;8,331;0,322;25,834;99,89
0,43;35,62;8,335;0,322;25,834;99,889
0,43;35,64;8,339;0,322;25,834;99,889
0,44;35,66;8,344;0,323;25,834;99,888
0,44;35,67;8,348;0,323;25,834;99,888
0,44;35,69;8,353;0,323;25,833;99,887
0,44;35,7;8,357;0,323;25,833;99,887
0,44;35,72;8,362;0,323;25,833;99,886
0,44;35,73;8,366;0,323;25,833;99,886
0,45;35,75;8,37;0,324;25,833;99,885
0,45;35,76;8,374;0,324;25,833;99,885
0,45;35,78;8,378;0,324;25,833;99,884
0,45;35,8;8,382;0,324;25,833;99,884
0,45;35,81;8,386;0,324;25,832;99,883
0,45;35,83;8,391;0,324;25,832;99,883
