Time t (min);Temperature T(c);Heat Flow Q (mW);Heat Flow (Normalized) Q (W/g);Weight (mg);Weight (%)
0;36,48;4,55;0,178;25,616;99,999
0;36,48;4,55;0,178;25,616;99,998
0;36,48;4,55;0,178;25,616;99,997
0,01;36,48;4,55;0,178;25,616;99,997
0,01;36,48;4,55;0,178;25,615;99,996
0,01;36,48;4,55;0,178;25,615;99,995
0,01;36,48;4,55;0,178;25,615;99,995
0,01;36,48;4,55;0,178;25,615;99,994
0,01;36,48;4,55;0,178;25,615;99,993
0,01;36,48;4,55;0,178;25,614;99,993
0,02;36,48;4,55;0,178;25,614;99,992
0,02;36,48;4,55;0,178;25,614;99,991
0,02;36,48;4,55;0,178;25,614;99,99
0,02;36,48;4,55;0,178;25,614;99,99
0,02;36,48;4,55;0,178;25,614;99,989
0,03;36,48;4,55;0,178;25,613;99,988
0,03;36,48;4,55;0,178;25,613;99,988
0,03;36,48;4,55;0,178;25,613;99,987
0,03;36,48;4,55;0,178;25,613;99,986
0,03;36,48;4,55;0,178;25,613;99,986
0,03;36,48;4,55;0,178;25,613;99,985
0,03;36,48;4,55;0,178;25,612;99,984
0,04;36,48;4,55;0,178;25,612;99,984
0,04;36,48;4,55;0,178;25,612;99,983
0,04;36,48;4,55;0,178;25,612;99,982
0,04;36,48;4,547;0,178;25,612;99,981
0,04;36,49;4,545;0,177;25,611;99,981
0,05;36,49;4,542;0,177;25,611;99,98
0,05;36,5;4,54;0,177;25,611;99,979
0,05;36,5;4,537;0,177;25,611;99,979
0,05;36,51;4,534;0,177;25,611;99,978
0,05;36,51;4,531;0,177;25,611;99,977
0,05;36,51;4,528;0,177;25,61;99,977
0,05;36,52;4,525;0,177;25,61;99,976
0,06;36,52;4,522;0,177;25,61;99,975
0,06;36,53;4,519;0,176;25,61;99,974
0,06;36,53;4,516;0,176;25,61;99,974
0,06;36,54;4,513;0,176;25,61;99,973
0,06;36,54;4,509;0,176;25,609;99,972
0,07;36,54;4,506;0,176;25,609;99,972
0,07;36,55;4,503;0,176;25,609;99,971
0,07;36,55;4,5;0,176;25,609;99,97
0,07;36,56;4,497;0,176;25,609;99,97
0,07;36,56;4,494;0,175;25,608;99,969
0,07;36,57;4,49;0,175;25,608;99,968
0,08;36,57;4,487;0,175;25,608;99,968
0,08;36,57;4,484;0,175;25,608;99,967
0,08;36,58;4,481;0,175;25,608;99,966
0,08;36,58;4,478;0,175;25,608;99,966
0,08;36,59;4,475;0,175;25,607;99,965
0,08;36,59;4,471;0,175;25,607;99,964
0,08;36,6;4,468;0,174;25,607;99,964
0,09;36,6;4,465;0,174;25,607;99,963
0,09;36,6;4,461;0,174;25,607;99,962
0,09;36,61;4,458;0,174;25,607;99,962
0,09;36,61;4,455;0,174;25,606;99,961
0,09;36,62;4,452;0,174;25,606;99,96
0,09;36,62;4,448;0,174;25,606;99,96
0,1;36,63;4,445;0,174;25,606;99,959
0,1;36,63;4,442;0,173;25,606;99,958
0,1;36,63;4,438;0,173;25,606;99,958
0,1;36,64;4,435;0,173;25,605;99,957
0,1;36,64;4,432;0,173;25,605;99,957
0,11;36,65;4,429;0,173;25,605;99,956
0,11;36,65;4,426;0,173;25,605;99,955
0,11;36,66;4,423;0,173;25,605;99,955
0,11;36,66;4,42;0,173;25,605;99,954
0,11;36,66;4,418;0,172;25,604;99,954
0,11;36,67;4,415;0,172;25,604;99,953
0,12;36,67;4,413;0,172;25,604;99,952
0,12;36,68;4,41;0,172;25,604;99,952
0,12;36,68;4,407;0,172;25,604;99,951
0,12;36,69;4,405;0,172;25,604;99,951
0,12;36,69;4,402;0,172;25,604;99,95
0,12;36,69;4,4;0,172;25,603;99,949
0,13;36,7;4,397;0,172;25,603;99,949
0,13;36,7;4,395;0,172;25,603;99,948
0,13;36,71;4,392;0,171;25,603;99,948
0,13;36,71;4,389;0,171;25,603;99,947
0,13;36,72;4,387;0,171;25,603;99,947
0,13;36,72;4,384;0,171;25,603;99,946
0,14;36,72;4,382;0,171;25,602;99,945
0,14;36,73;4,379;0,171;25,602;99,945
0,14;36,73;4,377;0,171;25,602;99,944
0,14;36,74;4,375;0,171;25,602;99,944
0,14;36,74;4,372;0,171;25,602;99,943
0,14;36,75;4,37;0,171;25,602;99,943
0,14;36,75;4,368;0,171;25,602;99,942
0,15;36,75;4,366;0,17;25,601;99,942
0,15;36,76;4,364;0,17;25,601;99,941
0,15;36,76;4,362;0,17;25,601;99,941
0,15;36,77;4,359;0,17;25,601;99,94
0,15;36,77;4,357;0,17;25,601;99,939
0,16;36,78;4,355;0,17;25,601;99,939
0,16;36,78;4,353;0,17;25,601;99,938
0,16;36,79;4,351;0,17;25,6;99,938
0,16;36,79;4,349;0,17;25,6;99,937
0,16;36,79;4,347;0,17;25,6;99,937
0,16;36,8;4,345;0,17;25,6;99,936
0,16;36,8;4,342;0,17;25,6;99,936
0,17;36,81;4,34;0,169;25,6;99,935
0,17;36,81;4,338;0,169;25,6;99,934
0,17;36,82;4,336;0,169;25,599;99,934
0,17;36,82;4,334;0,169;25,599;99,933
0,17;36,83;4,332;0,169;25,599;99,933
0,18;36,83;4,33;0,169;25,599;99,932
0,18;36,84;4,328;0,169;25,599;99,932
0,18;36,84;4,327;0,169;25,599;99,931
0,18;36,84;4,325;0,169;25,599;99,93
0,18;36,85;4,323;0,169;25,598;99,93
0,18;36,85;4,321;0,169;25,598;99,929
0,19;36,86;4,319;0,169;25,598;99,929
0,19;36,86;4,318;0,169;25,598;99,928
0,19;36,87;4,316;0,168;25,598;99,928
0,19;36,87;4,314;0,168;25,598;99,927
0,19;36,88;4,312;0,168;25,598;99,926
0,19;36,88;4,311;0,168;25,597;99,926
0,19;36,89;4,309;0,168;25,597;99,925
0,2;36,89;4,307;0,168;25,597;99,925
0,2;36,9;4,305;0,168;25,597;99,924
0,2;36,9;4,304;0,168;25,597;99,923
0,2;36,91;4,302;0,168;25,597;99,923
0,2;36,91;4,3;0,168;25,596;99,922
0,21;36,92;4,299;0,168;25,596;99,922
0,21;36,92;4,297;0,168;25,596;99,921
0,21;36,93;4,296;0,168;25,596;99,921
0,21;36,93;4,294;0,168;25,596;99,92
0,21;36,94;4,293;0,168;25,596;99,919
0,21;36,95;4,292;0,168;25,596;99,919
0,21;36,95;4,291;0,167;25,595;99,918
0,22;36,96;4,29;0,167;25,595;99,918
0,22;36,96;4,288;0,167;25,595;99,917
0,22;36,97;4,287;0,167;25,595;99,916
0,22;36,97;4,286;0,167;25,595;99,916
0,22;36,98;4,285;0,167;25,595;99,915
0,23;36,98;4,284;0,167;25,595;99,915
0,23;36,99;4,283;0,167;25,594;99,914
0,23;37;4,282;0,167;25,594;99,913
0,23;37;4,281;0,167;25,594;99,913
0,23;37,01;4,28;0,167;25,594;99,912
0,23;37,01;4,279;0,167;25,594;99,912
0,24;37,02;4,278;0,167;25,594;99,911
0,24;37,02;4,278;0,167;25,593;99,91
0,24;37,03;4,277;0,167;25,593;99,91
0,24;37,04;4,276;0,167;25,593;99,909
0,24;37,04;4,275;0,167;25,593;99,909
0,24;37,05;4,275;0,167;25,593;99,908
0,24;37,05;4,274;0,167;25,593;99,907
0,25;37,06;4,273;0,167;25,593;99,907
0,25;37,07;4,273;0,167;25,592;99,906
0,25;37,07;4,272;0,167;25,592;99,906
0,25;37,08;4,272;0,167;25,592;99,905
0,25;37,08;4,271;0,167;25,592;99,904
0,26;37,09;4,271;0,167;25,592;99,904
0,26;37,1;4,271;0,167;25,592;99,903
0,26;37,1;4,27;0,167;25,591;99,903
0,26;37,11;4,27;0,167;25,591;99,902
0,26;37,12;4,27;0,167;25,591;99,901
0,26;37,12;4,269;0,167;25,591;99,901
0,26;37,13;4,269;0,167;25,591;99,9
0,27;37,14;4,269;0,167;25,591;99,9
0,27;37,14;4,269;0,167;25,591;99,899
0,27;37,15;4,269;0,167;25,59;99,898
0,27;37,16;4,269;0,167;25,59;99,898
0,27;37,16;4,269;0,167;25,59;99,897
0,28;37,17;4,269;0,167;25,59;99,897
0,28;37,18;4,269;0,167;25,59;99,896
0,28;37,18;4,269;0,167;25,59;99,895
0,28;37,19;4,269;0,167;25,589;99,895
0,28;37,2;4,269;0,167;25,589;99,894
0,28;37,2;4,269;0,167;25,589;99,894
0,29;37,21;4,269;0,167;25,589;99,893
0,29;37,22;4,269;0,167;25,589;99,892
0,29;37,23;4,27;0,167;25,589;99,892
0,29;37,23;4,27;0,167;25,589;99,891
0,29;37,24;4,27;0,167;25,588;99,89
0,29;37,25;4,271;0,167;25,588;99,89
0,3;37,26;4,272;0,167;25,588;99,889
0,3;37,26;4,272;0,167;25,588;99,889
0,3;37,27;4,273;0,167;25,588;99,888
0,3;37,28;4,274;0,167;25,588;99,887
0,3;37,29;4,275;0,167;25,587;99,887
0,3;37,29;4,276;0,167;25,587;99,886
0,3;37,3;4,277;0,167;25,587;99,886
0,31;37,31;4,278;0,167;25,587;99,885
0,31;37,32;4,279;0,167;25,587;99,884
0,31;37,32;4,28;0,167;25,587;99,884
0,31;37,33;4,281;0,167;25,586;99,883
0,31;37,34;4,282;0,167;25,586;99,883
0,31;37,35;4,283;0,167;25,586;99,882
0,32;37,36;4,284;0,167;25,586;99,881
0,32;37,37;4,286;0,167;25,586;99,881
0,32;37,37;4,287;0,167;25,586;99,88
0,32;37,38;4,288;0,167;25,586;99,879
0,32;37,39;4,289;0,167;25,585;99,879
0,33;37,4;4,291;0,168;25,585;99,878
0,33;37,41;4,292;0,168;25,585;99,878
0,33;37,41;4,294;0,168;25,585;99,877
0,33;37,42;4,295;0,168;25,585;99,876
0,33;37,43;4,297;0,168;25,585;99,876
0,33;37,44;4,298;0,168;25,584;99,875
0,34;37,45;4,3;0,168;25,584;99,875
0,34;37,46;4,302;0,168;25,584;99,874
0,34;37,47;4,304;0,168;25,584;99,873
0,34;37,48;4,306;0,168;25,584;99,873
0,34;37,48;4,309;0,168;25,584;99,872
0,34;37,49;4,311;0,168;25,584;99,872
0,35;37,5;4,314;0,168;25,583;99,871
0,35;37,51;4,316;0,168;25,583;99,87
0,35;37,52;4,319;0,169;25,583;99,87
0,35;37,53;4,322;0,169;25,583;99,869
0,35;37,54;4,325;0,169;25,583;99,869
0,35;37,55;4,328;0,169;25,583;99,868
0,35;37,56;4,332;0,169;25,582;99,867
0,36;37,57;4,335;0,169;25,582;99,867
0,36;37,58;4,338;0,169;25,582;99,866
0,36;37,59;4,342;0,169;25,582;99,865
0,36;37,6;4,345;0,17;25,582;99,865
0,36;37,61;4,349;0,17;25,582;99,864
0,36;37,62;4,353;0,17;25,581;99,864
0,37;37,63;4,357;0,17;25,581;99,863
0,37;37,63;4,36;0,17;25,581;99,862
0,37;37,65;4,364;0,17;25,581;99,862
0,37;37,66;4,368;0,171;25,581;99,861
0,37;37,67;4,372;0,171;25,581;99,861
0,38;37,68;4,377;0,171;25,581;99,86
0,38;37,69;4,381;0,171;25,58;99,859
0,38;37,7;4,385;0,171;25,58;99,859
0,38;37,71;4,389;0,171;25,58;99,858
0,38;37,72;4,394;0,172;25,58;99,858
0,38;37,73;4,398;0,172;25,58;99,857
0,39;37,74;4,402;0,172;25,58;99,856
0,39;37,75;4,406;0,172;25,579;99,856
0,39;37,76;4,411;0,172;25,579;99,855
0,39;37,77;4,415;0,172;25,579;99,855
0,39;37,78;4,419;0,173;25,579;99,854
0,39;37,79;4,424;0,173;25,579;99,853
0,4;37,8;4,429;0,173;25,579;99,853
0,4;37,81;4,434;0,173;25,579;99,852
0,4;37,82;4,439;0,173;25,578;99,852
