Time t (min);Temperature T(c);Heat Flow Q (mW);Heat Flow (Normalized) Q (W/g);Weight (mg);Weight (%)
0;31,7;3,993;0,163;24,557;99,999
0;31,7;3,993;0,163;24,557;99,999
0;31,7;3,993;0,163;24,557;99,998
0,01;31,7;3,993;0,163;24,557;99,998
0,01;31,7;3,993;0,163;24,556;99,997
0,01;31,7;3,993;0,163;24,556;99,997
0,01;31,7;3,993;0,163;24,556;99,996
0,01;31,7;3,993;0,163;24,556;99,996
0,01;31,7;3,993;0,163;24,556;99,995
0,01;31,7;3,993;0,163;24,556;99,995
0,02;31,7;3,993;0,163;24,556;99,994
0,02;31,7;3,993;0,163;24,556;99,994
0,02;31,7;3,993;0,163;24,555;99,993
0,02;31,7;3,993;0,163;24,555;99,992
0,02;31,7;3,993;0,163;24,555;99,992
0,03;31,7;3,993;0,163;24,555;99,991
0,03;31,7;3,993;0,163;24,555;99,991
0,03;31,7;3,993;0,163;24,555;99,99
0,03;31,7;3,993;0,163;24,555;99,99
0,03;31,7;3,993;0,163;24,554;99,989
0,03;31,7;3,993;0,163;24,554;99,989
0,03;31,7;3,993;0,163;24,554;99,988
0,04;31,7;3,993;0,163;24,554;99,987
0,04;31,7;3,993;0,163;24,554;99,987
0,04;31,7;3,993;0,163;24,554;99,986
0,04;31,71;3,993;0,163;24,554;99,986
0,04;31,72;3,994;0,163;24,553;99,985
0,05;31,73;3,995;0,163;24,553;99,985
0,05;31,74;3,995;0,163;24,553;99,984
0,05;31,75;3,996;0,163;24,553;99,983
0,05;31,76;3,997;0,163;24,553;99,983
0,05;31,77;3,998;0,163;24,553;99,982
0,05;31,78;3,998;0,163;24,553;99,982
0,05;31,79;3,999;0,163;24,552;99,981
0,06;31,8;4;0,163;24,552;99,98
0,06;31,81;4,001;0,163;24,552;99,98
0,06;31,82;4,002;0,163;24,552;99,979
0,06;31,83;4,003;0,163;24,552;99,979
0,06;31,84;4,004;0,163;24,552;99,978
0,07;31,85;4,005;0,163;24,552;99,977
0,07;31,86;4,006;0,163;24,551;99,977
0,07;31,87;4,007;0,163;24,551;99,976
0,07;31,88;4,008;0,163;24,551;99,976
0,07;31,89;4,009;0,163;24,551;99,975
0,07;31,9;4,01;0,163;24,551;99,975
0,08;31,91;4,011;0,163;24,551;99,974
0,08;31,92;4,012;0,163;24,551;99,973
0,08;31,93;4,014;0,163;24,55;99,973
0,08;31,94;4,015;0,163;24,55;99,972
0,08;31,95;4,016;0,164;24,55;99,972
0,08;31,96;4,017;0,164;24,55;99,971
0,08;31,97;4,018;0,164;24,55;99,97
0,09;31,98;4,02;0,164;24,55;99,97
0,09;31,99;4,021;0,164;24,55;99,969
0,09;32;4,022;0,164;24,549;99,969
0,09;32,01;4,023;0,164;24,549;99,968
0,09;32,02;4,024;0,164;24,549;99,968
0,09;32,03;4,025;0,164;24,549;99,967
0,1;32,04;4,026;0,164;24,549;99,966
0,1;32,05;4,027;0,164;24,549;99,966
0,1;32,06;4,028;0,164;24,549;99,965
0,1;32,07;4,029;0,164;24,548;99,965
0,1;32,08;4,03;0,164;24,548;99,964
0,11;32,09;4,031;0,164;24,548;99,964
0,11;32,1;4,032;0,164;24,548;99,963
0,11;32,11;4,033;0,164;24,548;99,962
0,11;32,12;4,034;0,164;24,548;99,962
0,11;32,13;4,035;0,164;24,548;99,961
0,11;32,14;4,036;0,164;24,548;99,961
0,12;32,15;4,036;0,164;24,547;99,96
0,12;32,16;4,037;0,164;24,547;99,96
0,12;32,17;4,038;0,164;24,547;99,959
0,12;32,18;4,039;0,164;24,547;99,959
0,12;32,19;4,04;0,165;24,547;99,958
0,12;32,2;4,041;0,165;24,547;99,958
0,13;32,21;4,042;0,165;24,547;99,957
0,13;32,22;4,043;0,165;24,547;99,957
0,13;32,23;4,044;0,165;24,546;99,956
0,13;32,24;4,045;0,165;24,546;99,956
0,13;32,25;4,046;0,165;24,546;99,955
0,13;32,26;4,047;0,165;24,546;99,955
